OMP_NUM_THREADS	FIT_TIME	NUM_ITERATIONS
1	13172.2	57
1	13343.6	57
1	13332.7	57
1	13370.7	57
1	13117.3	57
1	13247.7	57
1	14231.5	57
1	13321.4	57
1	13236.9	57
1	13064.6	57
1	13151.8	57
1	13120.8	57
1	13252.9	57
1	13191.2	57
1	13353.6	57
1	13382.3	57
1	13700.1	57
1	13574.9	57
1	13243.9	57
1	13215.4	57
2	6804.78	57
2	6722.87	57
2	6722.18	57
2	6667.9	57
2	6689.95	57
2	6595.7	57
2	6828.42	57
2	6602.14	57
2	6655.82	57
2	6613	57
2	6608.41	57
2	6512.96	57
2	6503	57
2	6611.56	57
2	6753.4	57
2	6619.96	57
2	6519.72	57
2	6567.45	57
2	6656.14	57
2	6631.11	57
3	4769.82	57
3	4845.26	57
3	4884.4	57
3	4961.01	57
3	4789.51	57
3	4769.49	57
3	4874	57
3	4948.14	57
3	5009.06	57
3	4886.69	57
3	4816.87	57
3	4625.28	57
3	4714.22	57
3	4620.37	57
3	4672.45	57
3	4707.38	57
3	4660.93	57
3	4642.47	57
3	4741.15	57
3	4748.28	57
4	3881.23	57
4	3796.73	57
4	3869.84	57
4	3771.06	57
4	3861.32	57
4	3820.59	57
4	3796.08	57
4	3912.97	57
4	3804.75	57
4	3836.44	57
4	3799.43	57
4	3887.08	57
4	4016.76	57
4	4050.81	57
4	3857.03	57
4	3960.1	57
4	3814.04	57
4	3804.07	57
4	3857.44	57
4	3748.14	57
